Disease,CommonTestAndProcedure
Threatened pregnancy,Hematologic tests (Blood test)
Threatened pregnancy,Urinalysis
Threatened pregnancy,Complete blood count (Cbc)
Threatened pregnancy,Radiographic imaging procedure
Threatened pregnancy,Standard pregnancy test
Threatened pregnancy,Intravenous fluid replacement
Threatened pregnancy,Glucose measurement (Glucose level)
Threatened pregnancy,Kidney function tests (Kidney function test)
Intracranial abscess,Radiographic imaging procedure
Intracranial abscess,Hematologic tests (Blood test)
Intracranial abscess,X-ray computed tomography (Scan ct)
Intracranial abscess,Complete blood count (Cbc)
Intracranial abscess,Intravenous fluid replacement
Intracranial abscess,Electrolytes panel
Intracranial abscess,Glucose measurement (Glucose level)
Intracranial abscess,CAT scan of head (Head ct)
Gum disease,Incision and drainage (I d)
Gum disease,Other non-OR therapeutic procedures on nose; mouth and pharynx
Gum disease,Dental procedures (Care dental)
Open wound from surgical incision,Wound care management
Open wound from surgical incision,Complete physical skin exam performed (ML)
Open wound from surgical incision,Suturing of wound
Open wound from surgical incision,Traction; splints; and other wound care
Open wound from surgical incision,Excision (Removal)
Open wound from surgical incision,Debridement of wound; infection or burn
Open wound from surgical incision,Culture wound
Open wound from surgical incision,Application of splint (Splinting)
Gastrointestinal hemorrhage,Hematologic tests (Blood test)
Gastrointestinal hemorrhage,Complete blood count (Cbc)
Gastrointestinal hemorrhage,Intravenous fluid replacement
Gastrointestinal hemorrhage,Kidney function tests (Kidney function test)
Gastrointestinal hemorrhage,Glucose measurement (Glucose level)
Gastrointestinal hemorrhage,Electrolytes panel
Gastrointestinal hemorrhage,Radiographic imaging procedure
Gastrointestinal hemorrhage,Electrocardiogram
Seborrheic dermatitis,Complete physical skin exam performed (ML)
Seborrheic dermatitis,Excision (Removal)
Seborrheic dermatitis,Biopsy
Seborrheic dermatitis,Excision of skin lesion
Seborrheic dermatitis,Other therapeutic procedures
Seborrheic dermatitis,Other diagnostic procedures on skin and subcutaneous tissue
Seborrheic dermatitis,Referral to home health care service
Seborrheic dermatitis,Ophthalmic examination and evaluation (Eye exam)
Drug abuse (methamphetamine),Mental health counseling
Drug abuse (methamphetamine),Psychotherapy
Drug abuse (methamphetamine),Urinalysis
Drug abuse (methamphetamine),Glucose measurement (Glucose level)
Drug abuse (methamphetamine),Toxicology screen
Drug abuse (methamphetamine),Kidney function tests (Kidney function test)
Drug abuse (methamphetamine),Electrolytes panel
Drug abuse (methamphetamine),Cardiac enzymes measurement (Cardiac enzymes test)
Torticollis,Physical therapy exercises (Exercises)
Torticollis,X-ray computed tomography (Scan ct)
Torticollis,Other diagnostic procedures (interview; evaluation; consultation)
Torticollis,Magnetic resonance imaging (Mri)
Torticollis,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Torticollis,Other therapeutic procedures
Torticollis,Occupational therapy assessment (Speech therapy)
Torticollis,Traction; splints; and other wound care
Poisoning due to antihypertensives,Intravenous fluid replacement
Poisoning due to antihypertensives,Electrocardiogram
Poisoning due to antihypertensives,Hematologic tests (Blood test)
Poisoning due to antihypertensives,Complete blood count (Cbc)
Poisoning due to antihypertensives,Kidney function tests (Kidney function test)
Poisoning due to antihypertensives,Electrolytes panel
Poisoning due to antihypertensives,Glucose measurement (Glucose level)
Poisoning due to antihypertensives,Urinalysis
Tension headache,X-ray computed tomography (Scan ct)
Tension headache,CAT scan of head (Head ct)
Tension headache,Magnetic resonance imaging (Mri)
Tension headache,Physical therapy exercises (Exercises)
Tension headache,Standard pregnancy test
Tension headache,Mental health counseling
Tension headache,Ophthalmic examination and evaluation (Eye exam)
Tension headache,Depression screen (Depression screening)
Alcohol intoxication,Hematologic tests (Blood test)
Alcohol intoxication,Complete blood count (Cbc)
Alcohol intoxication,Intravenous fluid replacement
Alcohol intoxication,Blood alcohol
Alcohol intoxication,Glucose measurement (Glucose level)
Alcohol intoxication,Kidney function tests (Kidney function test)
Alcohol intoxication,Urinalysis
Alcohol intoxication,Toxicology screen
Scurvy,Other diagnostic procedures on skin and subcutaneous tissue
Scurvy,Biopsy
Scurvy,Ultrasonography (Ultrasound)
Scurvy,X-ray computed tomography (Scan ct)
Scurvy,Complete blood count (Cbc)
Scurvy,Corneal transplant
Scurvy,Transurethral resection of prostate (TURP) (Turp)
Scurvy,Coronary thrombolysis
Narcolepsy,Other diagnostic procedures (interview; evaluation; consultation)
Narcolepsy,Other therapeutic procedures on eyelids; conjunctiva; cornea
Narcolepsy,Depression screen (Depression screening)
Narcolepsy,Magnetic resonance imaging (Mri)
Narcolepsy,Electroencephalogram (EEG) (Eeg)
Narcolepsy,Ophthalmologic and otologic diagnosis and treatment
Food allergy,Complete physical skin exam performed (ML)
Food allergy,Other diagnostic procedures (interview; evaluation; consultation)
Food allergy,Other diagnostic procedures on skin and subcutaneous tissue
Food allergy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Food allergy,Referral to home health care service
Food allergy,Other therapeutic ear procedures
Labyrinthitis,Hematologic tests (Blood test)
Labyrinthitis,Complete blood count (Cbc)
Labyrinthitis,Intravenous fluid replacement
Labyrinthitis,Glucose measurement (Glucose level)
Labyrinthitis,Kidney function tests (Kidney function test)
Labyrinthitis,Electrocardiogram
Labyrinthitis,Electrolytes panel
Labyrinthitis,X-ray computed tomography (Scan ct)
Anxiety,Psychotherapy
Anxiety,Electrocardiogram
Anxiety,Mental health counseling
Anxiety,Cardiac monitoring (Cardiac monitor)
Anxiety,Depression screen (Depression screening)
Anxiety,Toxicology screen
Anxiety,Blood alcohol
Anxiety,Psychological and psychiatric evaluation and therapy
Impulse control disorder,Mental health counseling
Impulse control disorder,Psychotherapy
Impulse control disorder,Toxicology screen
Impulse control disorder,Blood alcohol
Impulse control disorder,Psychological and psychiatric evaluation and therapy
Impulse control disorder,Depression screen (Depression screening)
Impulse control disorder,Arterial blood gases (ABGs)
Impulse control disorder,Occupational therapy assessment (Speech therapy)
Stenosis of the tear duct,Complete physical skin exam performed (ML)
Stenosis of the tear duct,Ophthalmic examination and evaluation (Eye exam)
Stenosis of the tear duct,Other OR therapeutic nervous system procedures
Stenosis of the tear duct,Physical therapy exercises; manipulation; and other procedures
Stenosis of the tear duct,Influenzavirus antibody assay
Abscess of nose,Other diagnostic procedures (interview; evaluation; consultation)
Abscess of nose,Diagnostic procedures on nose; mouth and pharynx
Abscess of nose,Insertion of catheter into urinary bladder
Abscess of nose,Other respiratory therapy
Abscess of nose,Other OR therapeutic nervous system procedures
Abscess of nose,Other diagnostic procedures on skin and subcutaneous tissue
Abscess of nose,Ophthalmologic and otologic diagnosis and treatment
Abscess of nose,Other non-OR therapeutic procedures on nose; mouth and pharynx
Omphalitis,Complete physical skin exam performed (ML)
Omphalitis,Excision (Removal)
Omphalitis,Excision of skin lesion
Omphalitis,Culture wound
Omphalitis,Rectal examination
Omphalitis,Wound care management
Omphalitis,Other non-OR therapeutic procedures on skin and breast
Omphalitis,Examination of foot
Leukemia,Hematologic tests (Blood test)
Leukemia,Complete blood count (Cbc)
Leukemia,Glucose measurement (Glucose level)
Leukemia,Complete physical skin exam performed (ML)
Leukemia,Electrolytes panel
Leukemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Leukemia,Cancer chemotherapy (Chemotherapy)
Leukemia,Other therapeutic procedures
Bell palsy,X-ray computed tomography (Scan ct)
Bell palsy,CAT scan of head (Head ct)
Bell palsy,Electrocardiogram
Bell palsy,Kidney function tests (Kidney function test)
Bell palsy,Electrolytes panel
Bell palsy,Cardiac enzymes measurement (Cardiac enzymes test)
Bell palsy,Magnetic resonance imaging (Mri)
Bell palsy,Cardiac monitoring (Cardiac monitor)
Conjunctivitis due to allergy,Complete physical skin exam performed (ML)
Conjunctivitis due to allergy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Conjunctivitis due to allergy,Ophthalmologic and otologic diagnosis and treatment
Conjunctivitis due to allergy,Ophthalmic examination and evaluation (Eye exam)
Conjunctivitis due to allergy,Other therapeutic procedures on eyelids; conjunctiva; cornea
Conjunctivitis due to allergy,Other diagnostic procedures on skin and subcutaneous tissue
Conjunctivitis due to allergy,Diagnostic procedures on eye
Conjunctivitis due to allergy,Diagnostic procedures on nose; mouth and pharynx
Drug reaction,Intravenous fluid replacement
Drug reaction,Electrolytes panel
Drug reaction,Kidney function tests (Kidney function test)
Drug reaction,Electrocardiogram
Drug reaction,Cardiac enzymes measurement (Cardiac enzymes test)
Drug reaction,Cardiac monitoring (Cardiac monitor)
Drug reaction,Toxicology screen
Drug reaction,Other OR therapeutic nervous system procedures
Adrenal cancer,Hematologic tests (Blood test)
Adrenal cancer,Complete blood count (Cbc)
Adrenal cancer,Glucose measurement (Glucose level)
Adrenal cancer,Complete physical skin exam performed (ML)
Adrenal cancer,Hemoglobin A1c measurement (Hemoglobin a1c test)
Adrenal cancer,Cancer chemotherapy (Chemotherapy)
Adrenal cancer,Therapeutic radiology for cancer treatment (Irradiation)
Adrenal cancer,Biopsy
Myopia,Ophthalmologic and otologic diagnosis and treatment
Myopia,Ophthalmic examination and evaluation (Eye exam)
Myopia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Myopia,Diagnostic procedures on eye
Myopia,Other intraocular therapeutic procedures
Myopia,Lens and cataract procedures
Myopia,Other extraocular muscle and orbit therapeutic procedures
Osteoarthritis,Radiographic imaging procedure
Osteoarthritis,Plain x-ray (X ray)
Osteoarthritis,Physical therapy exercises (Exercises)
Osteoarthritis,Lipid panel
Osteoarthritis,Magnetic resonance imaging (Mri)
Osteoarthritis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Osteoarthritis,Other non-OR therapeutic procedures on musculoskeletal system
Osteoarthritis,Examination of foot
Thyroid disease,Hematologic tests (Blood test)
Thyroid disease,Ultrasonography (Ultrasound)
Thyroid disease,Lipid panel
Thyroid disease,Psychotherapy
Thyroid disease,Mental health counseling
Thyroid disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Thyroid disease,Examination of breast
Thyroid disease,Other diagnostic procedures (interview; evaluation; consultation)
Pharyngitis,Examination of breast
Pharyngitis,Depression screen (Depression screening)
Pharyngitis,Nebulizer therapy
Pharyngitis,Excision (Removal)
Pharyngitis,Rectal examination
Pharyngitis,Corneal transplant
Pharyngitis,Procedures on spleen (Spleen operation)
Pharyngitis,Removal of ectopic pregnancy
Chronic rheumatic fever,Electrocardiogram
Chronic rheumatic fever,Ultrasonography (Ultrasound)
Chronic rheumatic fever,Echocardiography
Chronic rheumatic fever,Complete physical skin exam performed (ML)
Chronic rheumatic fever,Lipid panel
Chronic rheumatic fever,Cardiac monitoring (Cardiac monitor)
Chronic rheumatic fever,Other diagnostic procedures (interview; evaluation; consultation)
Chronic rheumatic fever,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hypocalcemia,Hematologic tests (Blood test)
Hypocalcemia,Complete blood count (Cbc)
Hypocalcemia,Intravenous fluid replacement
Hypocalcemia,Radiographic imaging procedure
Hypocalcemia,Kidney function tests (Kidney function test)
Hypocalcemia,Electrocardiogram
Hypocalcemia,Glucose measurement (Glucose level)
Hypocalcemia,Urinalysis
Macular degeneration,Ophthalmic examination and evaluation (Eye exam)
Macular degeneration,Ophthalmologic and otologic diagnosis and treatment
Macular degeneration,Other therapeutic procedures on eyelids; conjunctiva; cornea
Macular degeneration,Other intraocular therapeutic procedures
Macular degeneration,Other therapeutic procedures
Macular degeneration,Diagnostic procedures on eye
Macular degeneration,Lens and cataract procedures
Macular degeneration,Other extraocular muscle and orbit therapeutic procedures
Pneumonia,Radiographic imaging procedure
Pneumonia,Plain x-ray (X ray)
Pneumonia,Hematologic tests (Blood test)
Pneumonia,Complete blood count (Cbc)
Pneumonia,Intravenous fluid replacement
Pneumonia,Kidney function tests (Kidney function test)
Pneumonia,Electrolytes panel
Pneumonia,Glucose measurement (Glucose level)
Cold sore,Complete physical skin exam performed (ML)
Cold sore,Pelvis exam
Cold sore,Examination of breast
Cold sore,Chlamydia test
Cold sore,Microscopic examination (bacterial smear; culture; toxicology)
