Disease,Symptom
Adrenal cancer,Nosebleed
Myopia,Diminished vision
Myopia,Spots or clouds in vision
Myopia,Pain in eye
Myopia,Symptoms of eye
Myopia,Eye redness
Myopia,Foreign body sensation in eye
Myopia,Itchiness of eye
Myopia,Lacrimation
Myopia,Eye moves abnormally
Myopia,Blindness
Myopia,Eye deviation
Myopia,Abnormal movement of eyelid
Osteoarthritis,Knee pain
Osteoarthritis,Hip pain
Osteoarthritis,Shoulder pain
Osteoarthritis,Back pain
Osteoarthritis,Leg pain
Osteoarthritis,Hand or finger pain
Osteoarthritis,Joint pain
Osteoarthritis,Knee swelling
Osteoarthritis,Ankle pain
Osteoarthritis,Elbow pain
Osteoarthritis,Muscle pain
Osteoarthritis,Knee weakness
Thyroid disease,Neck mass
Thyroid disease,Difficulty in swallowing
Thyroid disease,Hot flashes
Thyroid disease,Neck swelling
Thyroid disease,Hostile behavior
Thyroid disease,Lump in throat
Thyroid disease,Too little hair
Thyroid disease,Drainage in throat
Thyroid disease,Double vision
Thyroid disease,Throat feels tight
Thyroid disease,Blindness
Thyroid disease,Restlessness
Pharyngitis,Cough
Pharyngitis,Fever
Pharyngitis,Sore throat
Pharyngitis,Wheezing
Pharyngitis,Difficulty in swallowing
Pharyngitis,Hoarse voice
Pharyngitis,Coryza
Pharyngitis,Hurts to breath
Pharyngitis,Sharp abdominal pain
Pharyngitis,Nausea
Pharyngitis,Ear pain
Pharyngitis,Nasal congestion
Chronic rheumatic fever,Shortness of breath
Chronic rheumatic fever,Sharp chest pain
Chronic rheumatic fever,Palpitations
Chronic rheumatic fever,Difficulty breathing
Chronic rheumatic fever,Dizziness
Chronic rheumatic fever,Chest tightness
Chronic rheumatic fever,Increased heart rate
Chronic rheumatic fever,Drainage in throat
Chronic rheumatic fever,Restlessness
Chronic rheumatic fever,Throat feels tight
Chronic rheumatic fever,Smoking problems
Chronic rheumatic fever,Fluid in ear
Hypocalcemia,Shortness of breath
Hypocalcemia,Sharp abdominal pain
Hypocalcemia,Loss of sensation
Hypocalcemia,Seizures
Hypocalcemia,Weakness
Hypocalcemia,Paresthesia
Hypocalcemia,Sharp chest pain
Hypocalcemia,Constipation
Hypocalcemia,Abnormal involuntary movements
Hypocalcemia,Diarrhea
Hypocalcemia,Nausea
Hypocalcemia,Leg weakness
Macular degeneration,Diminished vision
Macular degeneration,Spots or clouds in vision
Macular degeneration,Symptoms of eye
Macular degeneration,Pain in eye
Macular degeneration,Lacrimation
Macular degeneration,Blindness
Macular degeneration,Itchiness of eye
Macular degeneration,Foreign body sensation in eye
Macular degeneration,Double vision
Macular degeneration,Eye burns or stings
Macular degeneration,Bleeding from eye
Macular degeneration,Abnormal movement of eyelid
Pneumonia,Cough
Pneumonia,Fever
Pneumonia,Shortness of breath
Pneumonia,Sharp chest pain
Pneumonia,Nasal congestion
Pneumonia,Difficulty breathing
Pneumonia,Vomiting
Pneumonia,Weakness
Pneumonia,Sore throat
Pneumonia,Wheezing
Pneumonia,Coryza
Pneumonia,Chills
Cold sore,Skin rash
Cold sore,Lip sore
Cold sore,Mouth ulcer
Cold sore,Fever
Cold sore,Lip swelling
Cold sore,Skin lesion
Cold sore,Sore throat
Cold sore,Vaginal itching
Cold sore,Vaginal discharge
Cold sore,Itching of skin
Cold sore,Skin swelling
Cold sore,Peripheral edema
Premature ventricular contractions (PVCs),Palpitations
Premature ventricular contractions (PVCs),Irregular heartbeat
Premature ventricular contractions (PVCs),Sharp chest pain
Premature ventricular contractions (PVCs),Fainting
Premature ventricular contractions (PVCs),Shortness of breath
Premature ventricular contractions (PVCs),Increased heart rate
Premature ventricular contractions (PVCs),Difficulty breathing
Premature ventricular contractions (PVCs),Chest tightness
Premature ventricular contractions (PVCs),Sleepiness
Premature ventricular contractions (PVCs),Apnea
Premature ventricular contractions (PVCs),Impotence
Premature ventricular contractions (PVCs),Back cramps or spasms
Chancroid,Pain in eye
Chancroid,Shoulder cramps or spasms
Chancroid,Facial pain
Chancroid,Ankle pain
Chancroid,Wrist pain
Chancroid,Pain during pregnancy
Chancroid,Excessive anger
Chancroid,Joint stiffness or tightness
Chancroid,Pain or soreness of breast
Chancroid,Knee lump or mass
Chancroid,Fatigue
Chancroid,Excessive urination at night
Testicular cancer,Mass in scrotum
Testicular cancer,Anxiety and nervousness
Testicular cancer,Ache all over
Testicular cancer,Nausea
Testicular cancer,Groin pain
Testicular cancer,Symptoms of the scrotum and testes
Testicular cancer,Skin on arm or hand looks infected
Testicular cancer,Blood in urine
Testicular cancer,Chills
Testicular cancer,Diminished hearing
Testicular cancer,Pain in testicles
Testicular cancer,Painful urination
Hydrocephalus,Headache
Hydrocephalus,Seizures
Hydrocephalus,Vomiting
Hydrocephalus,Depressive or psychotic symptoms
Hydrocephalus,Problems with movement
Hydrocephalus,Difficulty speaking
Hydrocephalus,Paresthesia
Hydrocephalus,Focal weakness
Hydrocephalus,Disturbance of memory
Hydrocephalus,Abnormal involuntary movements
Hydrocephalus,Arm stiffness or tightness
Hydrocephalus,Lack of growth
Breast cancer,Lump or mass of breast
Breast cancer,Pain or soreness of breast
Breast cancer,Hot flashes
Breast cancer,Bleeding or discharge from nipple
Breast cancer,Joint stiffness or tightness
Anemia due to malignancy,Fatigue
Anemia due to malignancy,Shortness of breath
Anemia due to malignancy,Difficulty in swallowing
Anemia due to malignancy,Pain of the anus
Anemia due to malignancy,Nosebleed
Anemia due to malignancy,Vaginal pain
Anemia due to malignancy,Mouth pain
Anemia due to malignancy,Hot flashes
Anemia due to malignancy,Flatulence
Esophageal varices,Burning abdominal pain
Esophageal varices,Nausea
Esophageal varices,Changes in stool appearance
Esophageal varices,Dizziness
Esophageal varices,Weakness
Esophageal varices,Lower abdominal pain
Esophageal varices,Sharp abdominal pain
Esophageal varices,Difficulty in swallowing
Esophageal varices,Melena
Esophageal varices,Itching of skin
Esophageal varices,Pain of the anus
Esophageal varices,Decreased appetite
Endometrial cancer,Vaginal bleeding after menopause
Endometrial cancer,Intermenstrual bleeding
Endometrial cancer,Pelvic pain
Endometrial cancer,Hot flashes
Endometrial cancer,Long menstrual periods
Endometrial cancer,Vaginal discharge
Endometrial cancer,Vaginal itching
Endometrial cancer,Cramps and spasms
Endometrial cancer,Unpredictable menstruation
Endometrial cancer,Infrequent menstruation
Endometrial cancer,Mass on vulva
Endometrial cancer,Absence of menstruation
Cystic Fibrosis,Cough
Cystic Fibrosis,Feeling ill
Cystic Fibrosis,Decreased appetite
Cystic Fibrosis,Intermenstrual bleeding
Cystic Fibrosis,Hemoptysis
Cystic Fibrosis,Bleeding gums
Cystic Fibrosis,Spots or clouds in vision
Cystic Fibrosis,Sinus congestion
Cystic Fibrosis,Drainage in throat
Cystic Fibrosis,Muscle pain
Intertrigo (skin condition),Skin rash
Intertrigo (skin condition),Abnormal appearing skin
Intertrigo (skin condition),Skin dryne
Intertrigo (skin condition),Skin swelling
Intertrigo (skin condition),Skin irritation
Intertrigo (skin condition),Neck pain
Intertrigo (skin condition),Skin lesion
Intertrigo (skin condition),Itching of skin
Intertrigo (skin condition),Acne or pimples
Intertrigo (skin condition),Skin growth
Intertrigo (skin condition),Foot or toe swelling
Intertrigo (skin condition),Skin moles
Parathyroid adenoma,Shoulder pain
Parathyroid adenoma,Weakness
Parathyroid adenoma,Anxiety and nervousness
Parathyroid adenoma,Disturbance of memory
Parathyroid adenoma,Fluid retention
Parathyroid adenoma,Flu-like syndrome
Parathyroid adenoma,Throat feels tight
Parathyroid adenoma,Weight gain
Parathyroid adenoma,Symptoms of the kidneys
Parathyroid adenoma,Tongue lesions
Parathyroid adenoma,Difficulty in swallowing
Parathyroid adenoma,Flatulence
Glucocorticoid deficiency,Shortness of breath
Glucocorticoid deficiency,Weakness
Glucocorticoid deficiency,Diarrhea
Glucocorticoid deficiency,Problems with movement
Glucocorticoid deficiency,Side pain
Glucocorticoid deficiency,Lack of growth
Glucocorticoid deficiency,Symptoms of the kidneys
Glucocorticoid deficiency,Muscle cram
Glucocorticoid deficiency,Drug abuse
Glucocorticoid deficiency,Rib pain
Glucocorticoid deficiency,Feeling ill
Glucocorticoid deficiency,Apnea
Temporomandibular joint disorder,Facial pain
Temporomandibular joint disorder,Ear pain
Temporomandibular joint disorder,Headache
Temporomandibular joint disorder,Neck pain
Temporomandibular joint disorder,Nasal congestion
Temporomandibular joint disorder,Sore throat
Temporomandibular joint disorder,Toothache
Temporomandibular joint disorder,Ringing in ear
Temporomandibular joint disorder,Diminished hearing
Temporomandibular joint disorder,Pain in eye
Temporomandibular joint disorder,Jaw pain
Temporomandibular joint disorder,Redness in ear
Wilson disease,Sleepiness
Wilson disease,Diminished vision
Wilson disease,Fatigue
Wilson disease,Abnormal breathing sounds
Wilson disease,Insomnia
Wilson disease,Cough
Wilson disease,Apnea
Wilson disease,Problems with movement
Wilson disease,Fainting
Wilson disease,Difficulty in swallowing
Wilson disease,Weakness
Wilson disease,Difficulty eating
Vesicoureteral reflux,Suprapubic pain
Vesicoureteral reflux,Fever
Vesicoureteral reflux,Blood in urine
Vesicoureteral reflux,Constipation
Vesicoureteral reflux,Symptoms of the kidneys
Vesicoureteral reflux,Involuntary urination
Vesicoureteral reflux,Fluid in ear
Vesicoureteral reflux,Regurgitation
Vitamin A deficiency,Fatigue
Vitamin A deficiency,Hand or finger pain
Vitamin A deficiency,Knee lump or mass
Vitamin A deficiency,Eye strain
Vitamin A deficiency,Excessive growth
Vitamin A deficiency,Pelvic pressure
Vitamin A deficiency,Bedwetting
Vitamin A deficiency,Vulvar sore
Vitamin A deficiency,Loss of sex drive
Vitamin A deficiency,Neck cramps or spasms
Vitamin A deficiency,Joint stiffness or tightness
Vitamin A deficiency,Shoulder swelling
Gonorrhea,Penile discharge
Gonorrhea,Sharp abdominal pain
Gonorrhea,Vaginal discharge
Gonorrhea,Vaginal itching
Gonorrhea,Painful urination
Gonorrhea,Penis redness
Gonorrhea,Problems with movement
Gonorrhea,Paresthesia
Gonorrhea,Itching of skin
Gonorrhea,Vaginal pain
Gonorrhea,Spotting or bleeding during pregnancy
Gonorrhea,Cramps and spasms
Fracture of the rib,Rib pain
Fracture of the rib,Sharp chest pain
Fracture of the rib,Back pain
Fracture of the rib,Side pain
Fracture of the rib,Shoulder pain
Fracture of the rib,Ache all over
Fracture of the rib,Arm pain
Fracture of the rib,Shortness of breath
Fracture of the rib,Hurts to breath
Fracture of the rib,Hip pain
Fracture of the rib,Bones are painful
Fracture of the rib,Back mass or lump
Ependymoma,Diminished vision
Ependymoma,Pain in eye
Ependymoma,Headache
Ependymoma,Eyelid swelling
Ependymoma,Symptoms of eye
Ependymoma,Abnormal appearing skin
Ependymoma,Eye redness
Ependymoma,Emotional symptoms
Ependymoma,Elbow cramps or spasms
Ependymoma,Pus in sputum
Ependymoma,Elbow weakness
Ependymoma,Muscle swelling
Hepatitis due to a toxin,Sharp abdominal pain
Hepatitis due to a toxin,Nausea
Hepatitis due to a toxin,Diarrhea
Hepatitis due to a toxin,Vomiting
Hepatitis due to a toxin,Depression
Hepatitis due to a toxin,Fatigue
Hepatitis due to a toxin,Jaundice
Hepatitis due to a toxin,Itching of skin
Hepatitis due to a toxin,Feeling ill
Hepatitis due to a toxin,Upper abdominal pain
Hepatitis due to a toxin,Flu-like syndrome
Hepatitis due to a toxin,Rectal bleeding
Vaginal cyst,Sharp abdominal pain
Vaginal cyst,Spotting or bleeding during pregnancy
Vaginal cyst,Pelvic pain
Vaginal cyst,Vaginal pain
Vaginal cyst,Lower abdominal pain
Vaginal cyst,Vaginal discharge
Vaginal cyst,Cramps and spasms
Vaginal cyst,Intermenstrual bleeding
Vaginal cyst,Blood clots during menstrual periods
Vaginal cyst,Pain during pregnancy
Vaginal cyst,Heavy menstrual flow
Vaginal cyst,Problems during pregnancy
Open wound of the shoulder,Shoulder pain
Open wound of the shoulder,Arm pain
Open wound of the shoulder,Shoulder stiffness or tightness
Open wound of the shoulder,Arm swelling
Open wound of the shoulder,Abusing alcohol
Open wound of the shoulder,Elbow pain
Open wound of the shoulder,Wrist pain
Ectopic pregnancy,Sharp abdominal pain
Ectopic pregnancy,Pain during pregnancy
Ectopic pregnancy,Spotting or bleeding during pregnancy
Ectopic pregnancy,Lower abdominal pain
Ectopic pregnancy,Pelvic pain
Ectopic pregnancy,Nausea
Ectopic pregnancy,Dizziness
Ectopic pregnancy,Cramps and spasms
Ectopic pregnancy,Intermenstrual bleeding
Ectopic pregnancy,Burning abdominal pain
Ectopic pregnancy,Vaginal discharge
Ectopic pregnancy,Problems during pregnancy
Chronic knee pain,Knee pain
Chronic knee pain,Leg pain
Chronic knee pain,Knee swelling
Chronic knee pain,Back pain
Chronic knee pain,Hip pain
Chronic knee pain,Leg swelling
Chronic knee pain,Knee stiffness or tightness
Chronic knee pain,Joint pain
Chronic knee pain,Knee weakness
Pinguecula,Symptoms of eye
Pinguecula,Lacrimation
Pinguecula,Double vision
Pinguecula,Headache
Pinguecula,Spots or clouds in vision
Pinguecula,Sleepiness
Pinguecula,Paresthesia
Pinguecula,Pain in eye
Pinguecula,Apnea
Pinguecula,Diminished vision
Pinguecula,Abnormal breathing sounds
Pinguecula,Itching of scrotum
Hypergammaglobulinemia,Fatigue
Hypergammaglobulinemia,Hip stiffness or tightness
Hypergammaglobulinemia,Blood in stool
Hypergammaglobulinemia,Knee stiffness or tightness
Alcohol abuse,Abusing alcohol
Alcohol abuse,Depressive or psychotic symptoms
Alcohol abuse,Drug abuse
Alcohol abuse,Depression
Alcohol abuse,Anxiety and nervousness
Alcohol abuse,Hostile behavior
Alcohol abuse,Delusions or hallucinations
Alcohol abuse,Excessive anger
Alcohol abuse,Vomiting blood
Alcohol abuse,Smoking problems
Alcohol abuse,Slurring words
Alcohol abuse,Low self-esteem
Carpal tunnel syndrome,Loss of sensation
Carpal tunnel syndrome,Hand or finger pain
Carpal tunnel syndrome,Wrist pain
Carpal tunnel syndrome,Paresthesia
Carpal tunnel syndrome,Arm pain
Carpal tunnel syndrome,Neck pain
Carpal tunnel syndrome,Hand or finger weakness
Carpal tunnel syndrome,Elbow pain
Carpal tunnel syndrome,Hand or finger stiffness or tightness
Carpal tunnel syndrome,Hand or finger swelling
Carpal tunnel syndrome,Arm weakness
Carpal tunnel syndrome,Wrist swelling
Pituitary disorder,Headache
Pituitary disorder,Lack of growth
Pituitary disorder,Pain in eye
Pituitary disorder,Sleepiness
Pituitary disorder,Bleeding or discharge from nipple
Pituitary disorder,Mouth pain
Pituitary disorder,Acne or pimples
Pituitary disorder,Hot flashes
Pituitary disorder,Fluid retention
Pituitary disorder,Postpartum problems of the breast
Pituitary disorder,Infertility
Pituitary disorder,Weight gain
Kidney stone,Side pain
Kidney stone,Sharp abdominal pain
Kidney stone,Back pain
Kidney stone,Vomiting
Kidney stone,Nausea
Kidney stone,Blood in urine
Kidney stone,Lower abdominal pain
Kidney stone,Low back pain
Kidney stone,Painful urination
Kidney stone,Frequent urination
Kidney stone,Retention of urine
Kidney stone,Suprapubic pain
Autism,Seizures
Autism,Depressive or psychotic symptoms
